state,county,county_fips,cvap,cvap_moe
CA,Alameda,06001,1104010,4528
CA,Alpine,06003,1150,168
CA,Amador,06005,33475,277
CA,Butte,06007,163370,715
CA,Calaveras,06009,36995,312
CA,Colusa,06011,12605,401
CA,Contra Costa,06013,791470,3626
CA,Del Norte,06015,20655,296
CA,El Dorado,06017,147070,812
CA,Fresno,06019,624635,2542
CA,Glenn,06021,18545,430
CA,Humboldt,06023,106755,631
CA,Imperial,06025,103945,1783
CA,Inyo,06027,14335,219
CA,Kern,06029,543555,2589
CA,Kings,06031,95475,1166
CA,Lake,06033,50220,453
CA,Lassen,06035,25095,277
CA,Los Angeles,06037,6410095,10901
CA,Madera,06039,94435,1418
CA,Marin,06041,188120,1230
CA,Mariposa,06043,13470,312
CA,Mendocino,06045,66235,750
CA,Merced,06047,158800,1841
CA,Modoc,06049,6785,131
CA,Mono,06051,9445,333
CA,Monterey,06053,241250,2391
CA,Napa,06055,96315,1074
CA,Nevada,06057,81715,762
CA,Orange,06059,2127355,7474
CA,Placer,06061,301335,1387
CA,Plumas,06063,15990,124
CA,Riverside,06065,1610450,4999
CA,Sacramento,06067,1095810,3582
CA,San Benito,06069,41830,715
CA,San Bernardino,06071,1406300,5189
CA,San Diego,06073,2304925,4702
CA,San Francisco,06075,633650,3041
CA,San Joaquin,06077,487135,2986
CA,San Luis Obispo,06079,220680,1184
CA,San Mateo,06081,502615,2962
CA,Santa Barbara,06083,287625,2336
CA,Santa Clara,06085,1176135,4956
CA,Santa Cruz,06087,193475,1365
CA,Shasta,06089,138510,639
CA,Sierra,06091,2445,163
CA,Siskiyou,06093,34190,225
CA,Solano,06095,318515,1734
CA,Sonoma,06097,354880,1981
CA,Stanislaus,06099,349335,2160
CA,Sutter,06101,63935,899
CA,Tehama,06103,46600,649
CA,Trinity,06105,12720,233
CA,Tulare,06107,268455,2514
CA,Tuolumne,06109,44720,348
CA,Ventura,06111,573110,2834
CA,Yolo,06113,149865,1676
CA,Yuba,06115,55535,567
UT,Beaver,49001,4620,130
UT,Box Elder,49003,39380,232
UT,Cache,49005,90270,507
UT,Carbon,49007,14850,101
UT,Daggett,49009,475,83
UT,Davis,49011,242105,1009
UT,Duchesne,49013,12965,104
UT,Emery,49015,6870,116
UT,Garfield,49017,3890,89
UT,Grand,49019,7535,156
UT,Iron,49021,40565,369
UT,Juab,49023,7885,18
UT,Kane,49025,5985,89
UT,Millard,49027,8435,105
UT,Morgan,49029,8085,57
UT,Piute,49031,1415,123
UT,Rich,49033,1660,82
UT,Salt Lake,49035,791465,2603
UT,San Juan,49037,10370,113
UT,Sanpete,49039,20705,243
UT,Sevier,49041,15185,109
UT,Summit,49043,30380,374
UT,Tooele,49045,49455,335
UT,Uintah,49047,23940,198
UT,Utah,49049,425900,1506
UT,Wasatch,49051,23070,288
UT,Washington,49053,132300,763
UT,Wayne,49055,1850,62
UT,Weber,49057,182900,833
WA,Adams,53001,10025,442
WA,Asotin,53003,17425,174
WA,Benton,53005,140170,1193
WA,Chelan,53007,54745,676
WA,Clallam,53009,63125,284
WA,Clark,53011,366850,1249
WA,Columbia,53013,3190,58
WA,Cowlitz,53015,83440,425
WA,Douglas,53017,27660,434
WA,Ferry,53019,5955,33
WA,Franklin,53021,53040,1091
WA,Garfield,53023,1830,81
WA,Grant,53025,59250,1064
WA,Grays Harbor,53027,58375,413
WA,Island,53029,69025,403
WA,Jefferson,53031,28590,227
WA,King,53033,1546015,4787
WA,Kitsap,53035,213455,731
WA,Kittitas,53037,35965,222
WA,Klickitat,53039,17190,255
WA,Lewis,53041,62630,405
WA,Lincoln,53043,8515,52
WA,Mason,53045,50840,349
WA,Okanogan,53047,28820,408
WA,Pacific,53049,19000,179
WA,Pend Oreille,53051,10890,55
WA,Pierce,53053,669245,1885
WA,San Juan,53055,15070,115
WA,Skagit,53057,95750,583
WA,Skamania,53059,9785,86
WA,Snohomish,53061,580225,2445
WA,Spokane,53063,411495,1170
WA,Stevens,53065,36590,149
WA,Thurston,53067,222665,847
WA,Wahkiakum,53069,3600,123
WA,Walla Walla,53071,46705,423
WA,Whatcom,53073,173495,939
WA,Whitman,53075,37160,392
WA,Yakima,53077,150895,1411
