outcome,t,coef,se
Dem Vote Share (Pres),-10,0.0006027370857138752,0.004056411169062939
Dem Vote Share (Pres),-8,0.0007623323293969983,0.009035777346051977
Dem Vote Share (Pres),-6,0.015663547976534197,0.007217849505293183
Dem Vote Share (Pres),-4,-0.0055355447504526764,0.01622706554094712
Dem Vote Share (Pres),0,-0.013480431764688225,0.017096900350949105
Dem Vote Share (Pres),2,0.016932193218381752,0.008808034114760905
Dem Vote Share (Pres),4,-0.0025942226636255063,0.014467843840010918
Dem Vote Share (Pres),6,0.03842947820062739,0.014912024497326325
Turnout,-10,0.006117640110363758,0.004414611985574255
Turnout,-8,-0.0022397317985424184,0.006262069846679862
Turnout,-6,0.004547612778049241,0.005980663487810521
Turnout,-4,0.006588246449210556,0.005756325784788574
Turnout,0,0.027539219896576362,0.009886536236385501
Turnout,2,0.029809355511185454,0.0105568357538604
Turnout,4,0.03326750301356194,0.012306857220308286
Turnout,6,0.03516171181971238,0.013485265191222015
